ID	parentID	scientificName	kingdom	phylum	class	order	family	genus	rank	status
792		Peloptulus montanus	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Peloptulus	species	accepted
793		Peloptulus phaenotus	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Peloptulus	species	accepted
794		Eupelops bilobus	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Eupelops	species	accepted
795		Eupelops geminus	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Eupelops	species	accepted
796		Eupelops occultus	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Eupelops	species	accepted
797		Eupelops acromios	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Eupelops	species	accepted
798		Eupelops strenzkei	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Eupelops	species	accepted
799		Eupelops hygrophilus	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Eupelops	species	accepted
800		Eupelops plicatus	Animalia	Arthropoda	Acari	Oribatida	Pelopidae	Eupelops	species	accepted
801		Oribatellidae	Animalia	Arthropoda	Acari	Oribatida	Oribatellidae		family	accepted
802		Oribatella arctica litoralis	Animalia	Arthropoda	Acari	Oribatida	Oribatellidae	Oribatella	subspecies	accepted
803		Oribatella brevipila	Animalia	Arthropoda	Acari	Oribatida	Oribatellidae	Oribatella	species	accepted
804		Tegoribates latirostris	Animalia	Arthropoda	Acari	Oribatida	Oribatellidae	Tegoribates	species	accepted
805		Achipteriidae	Animalia	Arthropoda	Acari	Oribatida	Achipteriidae		family	accepted
806		Parachipteria willmanni	Animalia	Arthropoda	Acari	Oribatida	Achipteriidae	Parachipteria	species	accepted
807		Parachipteria punctata	Animalia	Arthropoda	Acari	Oribatida	Achipteriidae	Parachipteria	species	accepted
808		Achipteria coleoptrata	Animalia	Arthropoda	Acari	Oribatida	Achipteriidae	Achipteria	species	accepted
809		Parachipteria petiti	Animalia	Arthropoda	Acari	Oribatida	Achipteriidae	Parachipteria	species	accepted
