parentID	ID	namePhrase	status
508	syn115	Patella ulyssiponensis	synonym
76	syn116	Pavo cristatus	synonym
791	syn117	Pelopsidae	synonym
1112	syn118	Perapion curtirostre	synonym
481	syn119	Petricolaria pholadiformis	synonym
837	syn120	Phaulodinychus repletus	synonym
1412	syn121	Phloeophagus lignarius	synonym
632	syn122	Phoenicopterus roseus	synonym
884	syn123	Planorbis corneus	synonym
151	syn124	Pluvialis apricaria	synonym
331	syn125	Podarcis muralis	synonym
1399	syn126	Poecilus cupreus	synonym
549	syn127	Propebela turricula	synonym
1079	syn128	Prostigmata	synonym
1389	syn129	Pselaphinae	synonym
1322	syn130	Pseudomedon obsoletus	synonym
1391	syn131	Pseudoscorpionida	synonym
1408	syn132	Ptininae	synonym
1466	syn133	Putorius putorius	synonym
721	syn134	Rhinoppia subpectinata	synonym
223	syn135	Rhodeus amarus	synonym
526	syn136	Rissoa diaphana	synonym
238	syn137	Sander lucioperca	synonym
225	syn138	Scardinius erythrophthalmus	synonym
954	syn139	Semibalanus balanoides	synonym
1426	syn140	Sepedophilus pedicularius	synonym
1037	syn141	Sphaerium lacustre	synonym
1436	syn142	Spirorbis spirorbis	synonym
218	syn143	Squalius cephalus	synonym
938	syn144	Succinea elegans	synonym
1447	syn145	Synuchus vivalis	synonym
951	syn146	Tellina pygmaea	synonym
489	syn147	Tellina pygmaea	synonym
144	syn148	Tetrao tetrix	synonym
505	syn149	Thracia papyracea	synonym
1452	syn150	Trechoblemus micros	synonym
1460	syn151	Trissemus impressus	synonym
385	syn152	Unio batavus	synonym
480	syn153	Venerupis senegalensis	synonym
361	syn154	Viviparus lacustris	synonym
789	syn155	Zachvatkinibates quadrivertex	synonym
332	syn156	Zootoca vivipara	synonym
