nameID	kingdom	phylum	class	order	family	genus
1198	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Chaetocnema
1199	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Chaetocnema
1200	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	
1201	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	
1202	Animalia	Arthropoda	Branchiopoda	Cladocera		
1203	Animalia	Arthropoda	Insecta	Coleoptera	Clambidae	
1204	Animalia	Arthropoda	Insecta	Coleoptera	Clambidae	Clambus
1205	Animalia	Arthropoda	Insecta	Coleoptera	Clambidae	Clambus
1206	Animalia	Porifera	Demospongiae	Hadromerida	Clionidae	Cliona
1207	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Clivina
1208	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Clivina
1209	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Clivina
1210	Animalia	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupea
1211	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	Coccidula
1212	Animalia	Arthropoda	Insecta	Coleoptera	Coccinellidae	
1213	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Coelostoma
1214	Animalia	Arthropoda	Insecta	Lepidoptera	Coleophoridae	Coleophora
1215	Animalia	Arthropoda	Entognatha	Collembola		
1216	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Circus
1217	Animalia	Ectoprocta	Gymnolaemata	Cheilostomatida	Electridae	Conopeum
1218	Animalia	Mollusca	Gastropoda	Neogastropoda	Conidae	Conus
1220	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	
1221	Animalia	Chordata	Aves	Passeriformes	Corvidae	Corvus
1222	Animalia	Arthropoda	Insecta	Coleoptera	Corylophidae	
1223	Animalia	Arthropoda	Insecta	Coleoptera	Corylophidae	Corylophus
1225	Animalia	Mollusca	Bivalvia	Pterioida	Ostreidae	Crassostrea
1226	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Creophilus
1227	Animalia	Arthropoda	Insecta	Diptera	Calliphoridae	Protophormia
1228	Animalia	Arthropoda	Insecta	Coleoptera	Cryptophagidae	
1229	Animalia	Arthropoda	Insecta	Coleoptera	Cryptophagidae	Cryptophagus
1231	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	
1233	Animalia	Arthropoda	Insecta	Diptera	Cyclorrapha	
1234	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Cymbiodyta
1235	Animalia	Arthropoda	Insecta	Coleoptera	Scirtidae	Cyphon
1236	Animalia	Mollusca	Gastropoda	Neotaenioglossa	Cypraeidae	Cypraea
1237	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia
1238	Animalia	Platyhelminthes	Cestoda	Pseudophyllidea	Diphyllobothriidae	Diphyllobothrium
1239	Animalia	Arthropoda	Diplopoda			
1240	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Dromius
1241	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Dromius
1242	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Drusilla
1243	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Dyschirius
1244	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Dyschirius
1245	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Dyschirius
1246	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	
1247	Animalia	Echinodermata	Echinoidea	Clypeasteroida	Fibulariidae	Echinocyamus
1248	Animalia	Chordata	Chondrichthyes			
1249	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	
1250	Animalia	Ectoprocta	Gymnolaemata	Cheilostomatida	Electridae	Electra
1251	Animalia	Chordata	Aves	Passeriformes	Emberizidae	Emberiza
1252	Animalia	Chordata	Reptilia	Chelonii	Emydidae	Emys
1253	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	Enicmus
1254	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	Enicmus
1255	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Enochrus
1256	Animalia	Arthropoda	Insecta	Trichoptera	Limnephilidae	Enoicyla
1257	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Epitrix
1258	Animalia	Arthropoda	Arachnida	Oribatida	Eremaeidae	Eporibatula
1259	Animalia	Chordata	Mammalia	Perissodactyla	Equidae	Equus
1260	Animalia	Chordata	Mammalia	Perissodactyla	Equidae	Equus
1261	Animalia	Arthropoda	Arachnida	Oribatida	Eremaeidae	Eremaeus
1262	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Erichsonius
1263	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Euaesthetus
1264	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Euaesthetus
1265	Animalia	Arthropoda	Insecta	Coleoptera	Scydmaenidae	Euconnus
1268	Animalia	Arthropoda	Insecta	Coleoptera	Scydmaenidae	Euthia
1269	Animalia	Arthropoda	Insecta	Coleoptera	Scydmaenidae	Euthia
1270	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Eutrigla
1271	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Falagria
1272	Animalia	Chordata	Aves	Falconiformes		
1273	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	
1274	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Gabrius
1276	Animalia	Arthropoda	Arachnida	Mesostigmata		
1277	Animalia	Arthropoda	Arachnida	Astigmata	Glycyphagidae	
