ID	scientificName	rank
360	Theodoxus fluviatilis	species
361	Viviparus viviparus	species
363	Viviparus	genus
364	Valvata cristata	species
365	Aplexa hypnorum	species
366	Physa fontinalis	species
368	Radix ovata	species
369	Lymnaea stagnalis	species
370	Lymnaea	genus
372	Valvata piscinalis	species
373	Valvata	genus
374	Assiminea grayana	species
375	Planorbis planorbis	species
377	Anisus vortex	species
379	Bathyomphalus contortus	species
380	Gyraulus crista	species
383	Anisus	genus
384	Acroloxus lacustris	species
385	Unio crassus	species
386	Unio tumidus	species
387	Unio pictorum	species
388	Unio	genus
389	Anodonta cygnaea	species
390	Pisidium amnicum	species
391	Pisidium nitidum	species
392	Pisidium supinum	species
393	Pisidium henslowanum	species
394	Pisidium	genus
395	Sphaerium corneum	species
396	Sphaerium rivicola	species
398	Sphaerium	genus
399	Dreissena polymorpha	species
401	Carychium tridentatum	species
402	Succinea putris	species
404	Succinea sarsii	species
405	Succinea	genus
406	Cochlicopa lubrica	species
407	Pupilla muscorum	species
408	Lauria cylindracea	species
409	Vallonia pulchella	species
410	Vallonia excentrica	species
411	Vallonia	genus
412	Ena montana	species
413	Clausilia parvula	species
414	Clausilia nigricans	species
415	Clausilia dubia	species
416	Clausilia rolphii	species
417	Clausilia	genus
418	Balea perversa	species
419	Cochlodina laminata	species
420	Punctum pygmaeum	species
421	Discus rotundatus	species
422	Vitrea crystallina	species
424	Nesovitrea hammonis	species
425	Zonitidae	family
426	Oxychilus cellarius	species
427	Oxychilus draparnaldi	species
428	Oxychilus	genus
429	Oxychilus alliarius	species
430	Oxychilus helveticus	species
431	Zonitoides nitidus	species
432	Zonitoides excavatus	species
433	Zonitoides	genus
434	Helicella gigaxii	species
435	Helicella virgata	species
437	Helicella	genus
438	Helicella intersecta	species
439	Perforatella incarnata	species
440	Trichia hispida	species
441	Helicigona lapicida	species
443	Helicigona	genus
444	Cepaea nemoralis	species
445	Cepaea hortensis	species
446	Cepaea	genus
447	Helix pomatia	species
448	Helix aspersa	species
449	Helix	genus
450	Glycymeris glycymeris	species
451	Modiolus modiolus	species
452	Mytilus edulis	species
453	Pecten maximus	species
454	Pecten jacobaeus	species
455	Chlamys varia	species
456	Chlamys opercularis	species
457	Chlamys	family
458	Lima loscombi	species
459	Anomia ephippium	species
460	Ostrea edulis	species
461	Crassostrea angulata	species
462	Astarte montagui	species
463	Arctica islandica	species
464	Lucinella divaricata	species
465	Lasaea rubra	species
466	Mysella bidentata	species
467	Laevicardium crassum	species
468	Cerastoderma edule	species
469	Acanthocardia echinatum	species
470	Cerastoderma	genus
471	Dosinia exoleta	species
472	Venus verrucosa	species
473	Mercenaria mercenaria	species
474	Chamelea gallina	species
475	Spisula	genus
476	Mactra corallina	species
477	Lutraria lutraria	species
478	Donax vittatus	species
479	Venus	genus
480	Venerupis pullastra	species
481	Petricola pholadiformis	species
482	Spisula subtruncata	species
483	Spisula solida	species
484	Spisula elliptica	species
485	Gari fervensis	species
486	Abra alba	species
487	Scrobicularia plana	species
488	Macoma balthica	species
489	Tellina fabula	species
490	Tellina tenuis	species
491	Angelus	genus
492	Ensis ensis	species
493	Ensis arcuatis	species
494	Ensis siliqua	species
495	Ensis	genus
496	Hiatella striata	species
497	Sphenia binghami	species
498	Mya truncata	species
499	Mya arenaria	species
500	Mya	genus
501	Barnea candida	species
502	Zirfaea crispata	species
503	Pholas dactylus	species
504	Teredo navalis	species
505	Thracia phaseolina	species
506	Patella vulgata	species
507	Patella depressa	species
508	Patella athletica	species
509	Patella	genus
510	Calliostoma zizyphinum	species
511	Jujubinus exasperatus	species
512	Gibbula magus	species
513	Gibbula pennanti	species
514	Gibbula tumida	species
515	Gibbula cineraria	species
516	Gibbula umbilicalis	species
517	Gibbula	genus
518	Littorina littorea	species
519	Littorina saxatilis	species
520	Littorina obtusata	species
521	Littorina	genus
522	Hydrobia stagnarum	species
524	Hydrobia	genus
525	Rissoa membranacea	species
526	Rissoella diaphana	species
527	Turritella communis	species
528	Bittium reticulatum	species
529	Epitonium clathrus	species
530	Calyptraea chinensis	species
531	Crepidula fornicata	species
532	Aporrhais pespelecani	species
533	Euspira catena	species
534	Euspira nitida	species
535	Policines	genus
536	Velutina velutina	species
537	Trivia monacha	species
538	Trivia arctica	species
539	Trivia	genus
540	Thais lapillus	species
541	Ocenebra erinaceus	species
542	Colus gracilis	species
543	Neptunea antiqua	species
544	Buccinum undatum	species
545	Nassarius reticulatus	species
546	Nassarius incrassatus	species
547	Nassarius pygmaeus	species
548	Nassarius	genus
549	Oenopota turricula	species
550	Acteon tornatilis	species
551	Brachystomia scalaris	species
552	Dentalium vulgare	species
553	Dentalium entale	species
554	Dentalium	genus
559	Mollusca	phylum
560	Insecta	class
561	Acari	subclass
562	Crustacea	subphylum
564	Phasianus colchicus	species
565	Recurvirostra avosetta	species
566	Turdus merula	species
567	Alca torda	species
568	Coregonus	genus
569	Tyto alba	species
570	Triglidae	family
572	Percidae	family
573	Gallinula chloropus	species
574	Bos taurus	species
576	Ovis aries	species
577	Capra hircus	species
578	Sus domesticus	species
579	Equus caballus	species
580	Brosme brosme	species
582	Bufo	genus
583	Rana	genus
584	Mergus	genus
586	Camelus bactrianus	species
587	Camelus dromedarius	species
592	Ovis ammon	species
593	Equus	genus
596	Cervidae	family
597	Soricidae	family
598	Arvicola sapidus	species
599	Arvicola	genus
601	Gliridae	family
603	Muridae	family
604	Rattus	genus
605	Sorex coronatus	species
606	Lepus timidus	species
607	Lepus	genus
608	Ursus maritimus	species
609	Loxodonta africana	species
610	Delphinus delphis	species
611	Lagenorhynchus albirostris	species
612	Globicephala melas	species
613	Cercopithecus aethiops	species
614	Panthera leo	species
615	Cebus	genus
616	Microtus	genus
617	Rodentia	order
618	Apodemus	genus
620	Balaenoptera	genus
621	Phocidae	family
622	Buteo lagopus	species
623	Buteo	genus
624	Anatidae	family
625	Anas	genus
627	Anserinae	subfamily
628	Branta	genus
629	Ardeidae	family
630	Ardea	genus
632	Phoenicopterus ruber	species
633	Motacilla flava	species
634	Mergus albellus	species
635	Parus major	species
636	Galliformes	order
637	Tachybaptus ruficollis	species
638	Podiceps cristatus	species
639	Alauda arvensis	species
640	Rallus aquaticus	species
641	Rallidae	family
642	Erithacus rubecula	species
643	Strigiformes	order
644	Apus apus	species
645	Charadriidae	family
646	Melanitta	genus
648	Nycticorax nycticorax	species
649	Gyps fulvus	species
650	Gavia	genus
651	Sterna paradisaea	species
652	Fulmarus glacialis	species
653	Pterodroma	genus
654	Paridae	family
655	Otis tarda	species
656	Carduelis cannabina	species
657	Scolopacidae	family
658	Charadrius dubius	species
659	Charadrius	genus
660	Recurvirostridae	family
661	Circus	genus
662	Circus aeruginosus	species
663	Corvidae	family
664	Carduelis carduelis	species
665	Fringilla coelebs	species
666	Pyrrhula pyrrhula	species
667	Larus ridibundus	species
668	Numenius phaeopus	species
669	Numenius	genus
671	Passer montanus	species
672	Passer	genus
673	Apus	genus
674	Emberiza	genus
675	Sylvia communis	species
676	Turdus viscivorus	species
677	Oribatida	suborder
678	Atropacarus striculus	species
679	Rhysotritia duplicata	species
680	Rhysotritia ardua ardua	subspecies
681	Hypochtonius rufulus	species
683	Platynothrus peltifer	species
684	Malaconothridae	family
685	Trimalaconothrus foveolatus	species
687	Nanhermanniidae	family
688	Nanhermannia coronata	species
689	Hermannia scabra	species
690	Hermannia subglabra	species
691	Poroliodes farinosus	species
692	Paradamaeus clavipes	species
693	Spatiodamaeus verticillipes	species
694	Epidamaeus bituberculatus	species
695	Epidamaeus glabriseta	species
696	Hypodamaeus gracilipes	species
697	Metabelba propexus	species
698	Cepheus cepheiformes	species
699	Cepheus latus	species
700	Ctenobelba pectinigera	species
701	Eueremaeus oblongus	species
702	Liacaridae	family
703	Liacarus coracinus	species
704	Astegistes pilosus	species
705	Carabodidae	family
706	Carabodes reticulatus	species
707	Carabodes marginatus	species
708	Carabodes labyrinthicus	species
709	Carabodes schatzi	species
710	Tectocepheidae	family
711	Tectocepheus concurvatus	species
712	Tectocepheus sarekensis	species
713	Tectocepheus velatus	species
714	Oppiidae	family
715	Quadroppia quadricarinata	species
716	Oppiella nova	species
717	Lauroppia maritima	species
718	Dissorhina ornata	species
719	Moritzoppia unicarinata	species
720	Berniniella bicarinata	species
721	Medioppia subpectinata	species
722	Microppia minus	species
723	Oppia nitens	species
724	Ramusella clavipectinata	species
725	Suctobelbidae	family
726	Suctobelbella tuberculata	species
727	Suctobelbella alloenasuta	species
728	Suctobelbella singularis	species
729	Suctobelbella palustris	species
730	Suctobelbella falcata	species
731	Suctobelbella latirostris	species
732	Autogneta longilamellata	species
733	Autogneta inundata	species
734	Conchogneta delacarlica	species
735	Caleremaeus monilipes	species
736	Banksinoma lanceolata	species
737	Oribella pectinata	species
738	Pantelozetes paolii	species
739	Hydrozetes thienemanni	species
740	Hydrozetes confervae	species
741	Hydrozetes lemnae	species
742	Hydrozetes lacustris	species
743	Limnozetidae	family
744	Limnozetes ciliatus	species
745	Limnozetes rugosus	species
746	Ameronothrus lineatus	species
747	Ameronothrus maculatus	species
748	Cymbaeremaeus cymba	species
749	Micreremus brevipes	species
750	Scutovertex pilosetosus	species
751	Scutovertex minutus	species
752	Scutovertex sculptus	species
753	Scutoverticidae	family
754	Oribatulidae	family
755	Zygoribatula exilis	species
756	Zygoribatula propinquus	species
757	Zygoribatula cognata	species
758	Zygoribatula frisiae	species
759	Oribatula tibialis	species
760	Phauloppia lucorum	species
761	Dometorina plantivaga	species
762	Scheloribatidae	family
763	Scheloribates pallidulus	species
764	Scheloribates latipes	species
765	Scheloribates laevigatus	species
767	Liebstadia similis	species
768	Chamobatidae	family
769	Chamobates cuspidatus	species
770	Chamobates schützi	species
771	Chamobates pusillus	species
772	Chamobates borealis	species
773	Zetomimus furcatus	species
774	Melanozetes mollicomus	species
775	Diapterobates humeralis	species
776	Fuscozetes fuscipes	species
777	Latilamellobates incisellus	species
778	Trichoribates trimaculatus	species
779	Trichoribates novus	species
780	Humerobates rostrolamellatus	species
781	Sphaerozetes piriformis	species
782	Ceratozetes parvulus	species
783	Ceratozetes gracilis	species
784	Mycobatidae	family
785	Mycobates parmeliae	species
786	Minunthozetes semirufus	species
787	Punctoribates hexagonus	species
788	Punctoribates sellnicki	species
789	Punctoribates quadrivertex	species
790	Punctoribates punctum	species
791	Pelopidae	family
792	Peloptulus montanus	species
793	Peloptulus phaenotus	species
794	Eupelops bilobus	species
795	Eupelops geminus	species
796	Eupelops occultus	species
797	Eupelops acromios	species
798	Eupelops strenzkei	species
799	Eupelops hygrophilus	species
800	Eupelops plicatus	species
801	Oribatellidae	family
802	Oribatella arctica litoralis	subspecies
803	Oribatella brevipila	species
804	Tegoribates latirostris	species
805	Achipteriidae	family
806	Parachipteria willmanni	species
807	Parachipteria punctata	species
808	Achipteria coleoptrata	species
809	Parachipteria petiti	species
810	Galumnidae	family
811	Pilogalumna tenuiclava	species
812	Acrogalumna longipluma	species
813	Galumna elimata	species
814	Galumna lanceata	species
815	Pergalumna nervosa	species
816	Uropodina	order
817	Trematuridae	family
818	Trichouropoda ovalis	species
819	Trichouropoda orbicularis	species
820	Trichouropoda pecinaituberosa	species
821	Nenteria stylifera	species
822	Nenteria floralis	species
823	Nenteria stammeri	species
824	Nenteria breviunguiculata	species
825	Urodinychidae	family
826	Dinychus undulatus	species
827	Dinychus bincheaecarinatus	species
828	Dinychus inermis	species
829	Uroobovella pulchella	species
830	Uroobovella pyriformis	species
831	Uroobovella marginata	species
832	Uroobovella difoveolata	species
833	Uroobovella rackei	species
834	Uropodidae	family
835	Uropoda minima	species
836	Uropoda orbicularis	species
837	Phaulodinychus repleta	species
838	Phaulodinychus undulata	species
839	Phaulodinychus vitzthumi	species
840	Phaulodinychus	genus
841	Gamasina	cohort
842	Alliphis siculus	species
843	Macrochelidae	family
844	Holostaspella ornatus	species
845	Macrocheles vernalis	species
846	Macrocheles glaber	species
847	Macrocheles matrius	species
848	Macrocheles muscaedomesticae	species
849	Pachylaelaps magnus	species
850	Hypoaspis aculeifer	species
851	Androlaelaps casalis	species
852	Ameroseiidae	family
853	Ameroseius plumosus	species
854	Proctolaelaps pygmaeus	species
855	Neojordensia levis	species
856	Ascidae	family
857	Sejus borealis	species
858	Sejus necorniger	species
859	Sejus mutilus	species
860	Zerconidae	family
861	Eugamasidae	family
862	Pergamasus crassipes	species
863	Pergamasus vagabundus	species
864	Veigaia nemorensis	species
865	Pyroglyphidae	family
866	Cheyletidae	family
867	Acarididae	family
868	Hydrachnidae	family
869	Tyrophagus	genus
870	Damalinia bovis	species
872	Damalinia caprae	species
873	Humerobates fungorum	species
874	Mallophaga	order
875	Acaridida	order
876	Hydrozetidae	family
877	Oribatella quadricornuta	species
878	Trimalaconothrus novus	species
879	Arthropoda	phylum
880	Solea lascaris	species
881	Soleidae	family
882	Planorbis carinatus	species
884	Planorbarius corneus	species
886	Planorbidae	family
887	Segmentina nitida	species
888	Anisus leucostoma	species
889	Anisus vorticulus	species
890	Anodonta	genus
892	Viviparus contectus	species
893	Radix peregra	species
894	Stagnicola palustris	species
895	Physella acuta	species
896	Hydrobia ulvae	species
897	Hippeutis complanatus	species
898	Gyraulus albus	species
899	Galba truncatula	species
900	Bithynia leachii	species
901	Bithynia tentaculata	species
902	Bivalvia	class
903	Gastropoda	class
905	Hydrobia ventrosa	species
906	Myotis myotis	species
907	Cerastoderma glaucum	species
908	Salamandridae	family
910	Bithynia	genus
911	Sphaeriidae	family
912	Radix auricularia	species
913	Radix	genus
914	Pseudunio auricularia	species
916	Carychium minimum	species
917	Cecilioides acicula	species
918	Columella	genus
919	Euconulus fulvus	species
920	Helicella itala	species
921	Balea biplicata	species
922	Bradybaena fruticum	species
923	Echinoidea	class
924	Echinocardium cordatum	species
927	Ena obscura	species
928	Retusa obtusa	species
929	Succineidae	family
930	Succinella oblonga	species
931	Vitrina	genus
932	Pomatias elegans	species
933	Polychaeta	class
936	Bryozoa	class
937	Limacidae	family
938	Oxyloma elegans	species
939	Oxyloma	genus
940	Vertigo pygmaea	species
941	Vertigo angustior	species
942	Vertigo	genus
943	Vertigo antivertigo	species
944	Vitrina pellucida	species
948	Balaenopteridae	family
949	Callista chione	species
950	Haliotis tuberculata	species
951	Tellina pusilla	species
952	Nucula nucleus	species
953	Naticidae	family
954	Balanus balanoides	species
955	Balanus	genus
956	Abra tenuis	species
957	Columella edentula	species
958	Sepia	genus
959	Sepia officinalis	species
960	Odostomia unidentata	species
961	Odostomia	genus
962	Ostracoda	class
963	Acanthinula aculeata	species
964	Aegopinella nitidula	species
965	Chrysallida	genus
966	Cypraeidae	family
967	Cypraea pantherina	species
968	Cypraea	genus
969	Epilepton clarkiae	species
970	Ophiuroidea	class
971	Helicodonta obvoluta	species
972	Kellia suborbicularis	species
973	Hydrozoa	class
974	Porifera	class
975	Alopias vulpinus	species
976	Chondrichthyes	class
977	Aspitrigla cuculus	species
978	Molva dypterygia	species
979	Bothidae	family
980	Sphyraena	genus
982	Vallonia costata	species
983	Hirudinea	class
984	Ameronothrus schneideri	species
985	Analgesidae	family
986	Ceratoppia bipilis	species
987	Chamobates incisus	species
989	Dinychus carinatus	species
990	Limnozetes sphagni	species
991	Metabelba papillipes	species
992	Oppia ornata	species
993	Pachylaelaps	genus
995	Pediculus humanus	species
996	Pulex irritans	species
997	Rhodacarellus silesiacus	species
998	Uropoda baloghi	species
999	Siphonaptera	order
1000	Anoplura	order
1001	Achipteria	genus
1002	Ceratozetella thienemanni	species
1003	Eulaelaps stabularis	species
1004	Halolaelaps sculpturatus	species
1005	Halolaelaps	genus
1006	Hypoaspis nolli	species
1007	Macrocheles subbadius	species
1008	Metabelba sphagni	species
1009	Ophidiotrichus tectus	species
1010	Oppiella uliginosa	species
1011	Oppiella	genus
1012	Phauloppia saxicola	species
1013	Cancer pagurus	species
1014	Carcinus maenas	species
1015	Eupagurus bernhardus	species
1016	Homarus gammarus	species
1017	Arianta arbustorum	species
1018	Arachnida	class
1019	Araneae	order
1020	Coleoptera	order
1021	Damalinia ovis	species
1022	Damalinia	genus
1023	Diptera	order
1024	Pulicidae	family
1025	Balanus improvisus	species
1026	Cetopirus complanatus	species
1029	Pluvialis squatarola	species
1030	Sylvia	genus
1034	Gasterosteidae	family
1036	Mercuria confusa	species
1037	Musculium lacustre	species
1038	Pseudotrichia rubiginosa	species
1040	Stercorarius parasiticus	species
1041	Larus canus	species
1042	Larus hyperboreus	species
1044	Tellinidae	family
1046	Ophiura	genus
1047	Ctenocephalides canis	species
1048	Ctenocephalides felis	species
1052	Ardea purpurea	species
1053	Porzana parva	species
1054	Orcinus orca	species
1055	Columba oenas	species
1056	Streptopelia turtur	species
1057	Hippopotamus	genus
1060	Cypraea tigris	species
1062	Milvus	genus
1063	Turdus iliacus	species
1065	Hyperoodon ampullatus	species
1066	Delichon urbica	species
1067	Cavia porcellus	species
1068	Podiceps nigricollis	species
1070	Rutilus	genus
1071	Abramis	genus
1072	Accipitriformes	order
1074	Acidota	genus
1075	Acipenser oxyrinchus	species
1076	Acritus nigricornis	species
1077	Acrotrichis	genus
1078	Actidium boudieri	species
1079	Actinedida	order
1080	Acupalpus brunnipes	species
1081	Agabus	genus
1082	Agonum thoreyi	species
1083	Agriolimacidae	family
1084	Agriotes lineatus	species
1085	Aleochara	genus
1086	Aleocharinae	subfamily
1087	Alosa	genus
1088	Amara	genus
1089	Amara aenea	species
1090	Amara anthobia	species
1091	Amara bifrons	species
1092	Amara lunicollis	species
1093	Amara plebeja	species
1094	Amara similata	species
1095	Anacaena	genus
1096	Anachipteria latitecta	species
1097	Anisodactylus binotatus	species
1099	Anobiidae	family
1100	Anobium punctatum	species
1102	Anotylus nitidulus	species
1103	Anotylus rugosus	species
1104	Anthicidae	family
1105	Anthicus antherinus	species
1106	Anthicus gracilis	species
1107	Anthribidae	family
1108	Aphodius	genus
1109	Aphodius fimetarius	species
1110	Aphodius plagiatus	species
1111	Apion	genus
1112	Apion curtirostre	species
1113	Apionidae	family
1114	Apis mellifica	species
1115	Apocrita	suborder
1116	Agonum fuliginosum	species
1117	Agonum muelleri	species
1118	Agonum ruficorne	species
1119	Aquila chrysaetos	species
1120	Arcella	genus
1122	Ascarididae	family
1123	Ascaris	genus
1124	Ascaris lumbricoides	species
1125	Astenus immaculatus	species
1126	Astigmata	cohort
1127	Atomaria	genus
1128	Atomaria gutta	species
1129	Atomaria ruficornis	species
1130	Attagenus pellio	species
1131	Bagous lutulosus	species
1132	Bembidion varium	species
1133	Bembidion	genus
1134	Bembidion assimile	species
1135	Bembidion fumigatum	species
1136	Bembidion minimum	species
1137	Bembidion properans	species
1138	Bembidion tenellum	species
1139	Bembidion tetracolum	species
1140	Bibionidae	family
1141	Bibloplectus	genus
1142	Bison	genus
1144	Bledius germanicus	species
1145	Bledius spectabilis	species
1146	Bolinus brandaris	species
1147	Bos	genus
1148	Bothriophorus atomus	species
1149	Bovidae	family
1150	Brachycera	suborder
1152	Brachygluta	genus
1153	Brachytarsus nebulosus	species
1154	Brachyura	infraorder
1155	Bradycellus ruficollis	species
1156	Bradycellus verbasci	species
1157	Bryaxis	genus
1158	Bryaxis bulbifer	species
1159	Bryaxis puncticollis	species
1160	Bufonidae	family
1161	Byrrhidae	family
1164	Bythinus	genus
