ID	scientificName	rank
1	Equus asinus	species
2	Canis familiaris	species
3	Felis catus	species
4	Sus scrofa	species
6	Cervus elaphus	species
7	Capreolus capreolus	species
8	Dama dama	species
9	Alces alces	species
10	Rangifer tarandus	species
11	Bison priscus	species
12	Bos primigenius	species
14	Ursus arctos	species
15	Meles meles	species
16	Lutra lutra	species
17	Martes martes	species
18	Martes foina	species
19	Martes	genus
20	Mustela erminea	species
21	Mustela nivalis	species
22	Mustelidae	family
24	Felis silvestris	species
25	Lynx lynx	species
26	Vulpes vulpes	species
27	Canis lupus	species
28	Talpa europaea	species
29	Erinaceus europaeus	species
30	Sciurus vulgaris	species
31	Castor fiber	species
32	Oryctolagus cuniculus	species
33	Lepus europaeus	species
34	Leporidae	family
35	Phoca vitulina	species
36	Pusa hispida	species
37	Halichoerus grypus	species
38	Tursiops truncatus	species
39	Phocoena phocoena	species
40	Physeter macrocephalus	species
41	Balaenoptera physalus	species
42	Balaenoptera borealis	species
43	Megaptera novaeangliae	species
44	Eubalaena glacialis	species
45	Balaena mysticetus	species
46	Cetacea	order
47	Sorex araneus	species
48	Sorex minutus	species
49	Neomys fodiens	species
50	Crocidura leucodon	species
51	Crocidura russula	species
52	Eliomys quercinus	species
53	Muscardinus avellanarius	species
54	Cricetus cricetus	species
55	Clethrionomys glareolus	species
56	Microtus agrestis	species
57	Microtus arvalis	species
58	Microtus oeconomus	species
59	Arvicola terrestris	species
60	Pitymys subterraneus	species
61	Apodemus sylvaticus	species
62	Apodemus flavicollis	species
63	Micromys minutus	species
64	Rattus rattus	species
65	Rattus norvegicus	species
66	Mus musculus	species
68	Chiroptera	order
69	Homo sapiens	species
73	Mammalia	class
75	Gallus gallus domesticus	subspecies
76	Pavo cristata	species
77	Meleagris gallopavo	species
78	Anser anser domesticus	subspecies
79	Anas platyrhynchos domesticus	subspecies
80	Columba livia	species
85	Gavia stellata	species
86	Gavia arctica	species
87	Procellariidae	family
88	Sula bassana	species
89	Pelecanus crispus	species
90	Phalacrocorax carbo	species
91	Botaurus stellaris	species
92	Egretta alba	species
93	Ardea cinerea	species
94	Platalea leucorodia	species
95	Ciconia nigra	species
96	Ciconia ciconia	species
97	Cygnus olor	species
98	Cygnus cygnus	species
100	Cygnus bewickii	species
101	Cygnus	genus
102	Anser fabalis	species
103	Anser brachyrhynchus	species
104	Anser albifrons	species
105	Anser anser	species
106	Anser	genus
107	Branta leucopsis	species
108	Branta bernicla	species
109	Tadorna tadorna	species
110	Anas penelope	species
111	Anas strepera	species
112	Anas crecca	species
113	Anas querquedula	species
115	Anas platyrhynchos	species
116	Anas acuta	species
117	Anas clypeata	species
118	Netta rufina	species
119	Aythya ferina	species
120	Aythya marila	species
122	Aythya fuligula	species
123	Aythya	genus
124	Somateria mollissima	species
125	Clangula hyemalis	species
126	Melanitta nigra	species
127	Melanitta fusca	species
128	Bucephala clangula	species
129	Mergus serrator	species
130	Mergus merganser	species
131	Anatinae	subfamily
132	Haliaeetus albicilla	species
134	Aegypius monachus	species
135	Accipiter gentilis	species
136	Accipiter nisus	species
137	Buteo buteo	species
138	Accipitridae	subfamily
139	Falco tinnunculus	species
140	Falco subbuteo	species
142	Falco peregrinus	species
143	Falco	suborder
144	Lyrurus tetrix	species
145	Perdix perdix	species
146	Coturnix coturnix	species
147	Fulica atra	species
148	Grus grus	species
149	Haematopus ostralegus	species
150	Charadrius hiaticula	species
151	Pluvialis apricarius	species
152	Pluvialis	genus
153	Vanellus vanellus	species
155	Calidris alpina	species
156	Calidris canutus	species
157	Calidris	genus
158	Philomachus pugnax	species
159	Lymnocryptes minimus	species
160	Gallinago gallinago	species
161	Gallinago media	species
162	Scolopax rusticola	species
163	Limosa limosa	species
164	Limosa lapponica	species
165	Limosa	genus
166	Numenius arquata	species
167	Tringa totanus	species
168	Tringa	genus
170	Larus fuscus	species
171	Larus argentatus	species
172	Larus marinus	species
173	Larus	genus
174	Rissa tridactyla	species
175	Sterna hirundo	species
176	Sterna	genus
177	Uria aalge	species
178	Pinguinus impennis	species
179	Columba palumbus	species
180	Columba	genus
181	Bubo bubo	species
182	Athene noctua	species
183	Strix aluco	species
184	Asio otus	species
185	Asio flammeus	species
186	Dendrocopos major	species
187	Turdus pilaris	species
188	Turdus philomelos	species
189	Turdus	genus
190	Garrulus glandarius	species
191	Pica pica	species
192	Corvus monedula	species
193	Corvus frugilegus	species
194	Corvus corone	species
196	Corvus corax	species
197	Corvus	genus
198	Sturnus vulgaris	species
199	Passer domesticus	species
200	Fringillidae	family
201	Passeriformes	order
202	Aves	class
204	Anguilla anguilla	species
205	Cyprinidae	family
206	Abramis brama	species
207	Abramis bjoerkna	species
209	Aspius aspius	species
210	Alburnus alburnus	species
211	Barbus barbus	species
212	Carassius carassius	species
213	Ctenopharyngodon idella	species
214	Chondrostoma nasus	species
215	Cyprinus carpio	species
216	Gobio gobio	species
217	Leucaspius delineatus	species
218	Leuciscus cephalus	species
219	Leuciscus idus	species
221	Leuciscus leuciscus	species
222	Phoxinus phoxinus	species
223	Rhodeus sericeus	species
224	Rutilus rutilus	species
225	Rutilus erythrophthalmus	species
226	Tinca tinca	species
227	Cobitis taenia	species
228	Noemacheilus barbatulus	species
229	Silurus glanis	species
230	Esox lucius	species
231	Thymallus thymallus	species
232	Lota lota	species
233	Gasterosteus aculeatus	species
234	Pungitius pungitius	species
235	Cottus gobio	species
236	Gymnocephalus cernua	species
237	Perca fluviatilis	species
238	Stizostedion lucioperca	species
239	Pomatoschistus microps	species
240	Acipenser sturio	species
241	Alosa alosa	species
242	Alosa fallax	species
244	Osmerus eperlanus	species
245	Salmonidae	family
246	Coregonus lavaretus	species
247	Coregonus oxyrinchus	species
248	Salmo salar	species
249	Salmo trutta	species
251	Salmo gairdneri	species
252	Scyliorhinus canicula	species
253	Triakidae	family
254	Galeorhinus galeus	species
255	Mustelus mustelus	species
256	Mustelus asterias	species
257	Squalus acanthias	species
258	Squatina squatina	species
259	Rajidae	family
260	Raja batis	species
261	Raja clavata	species
262	Raja montagui	species
263	Dasyatis pastinaca	species
264	Conger conger	species
265	Clupeidae	family
266	Clupea harengus	species
267	Sprattus sprattus	species
268	Sardina pilchardus	species
269	Engraulis encrasicolus	species
270	Gadidae	family
271	Gadus morhua	species
272	Merlangius merlangus	species
273	Melanogrammus aeglefinus	species
274	Pollachius pollachius	species
275	Pollachius virens	species
276	Trisopterus luscus	species
277	Trisopterus minutus	species
278	Ciliata mustela	species
279	Molva molva	species
280	Merluccius merluccius	species
281	Lophius piscatorius	species
282	Belone belone	species
283	Atherina presbyter	species
284	Atherina boyeri	species
285	Spinachia spinachia	species
286	Syngnathus acus	species
287	Eutrigla gurnardus	species
288	Chelidonichthys lucerna	species
289	Trigloporus lastoviza	species
290	Myoxocephalus scorpius	species
291	Enophrys bubalis	species
292	Agonus cataphractus	species
293	Cyclopterus lumpus	species
294	Dicentrarchus labrax	species
295	Trachurus trachurus	species
296	Pagellus bogaraveo	species
297	Spondyliosoma cantharus	species
298	Argyrosomus regius	species
299	Mullus surmuletus	species
300	Mugilidae	family
301	Chelon labrosus	species
302	Liza aurata	species
303	Liza ramada	species
305	Zoarces viviparus	species
306	Anarhichas lupus	species
307	Trachinus draco	species
308	Echiichthys vipera	species
309	Lipophrys pholis	species
310	Ammodytes tobianus	species
311	Ammodytes marinus	species
312	Hyperoplus lanceolatus	species
313	Callionymus lyra	species
314	Pomatoschistus minutus	species
315	Scomber scombrus	species
316	Scomber japonicus	species
317	Thunnus thynnus	species
318	Scophthalmus maximus	species
319	Scophthalmus rhombus	species
320	Pleuronectidae	family
321	Pleuronectes platessa	species
322	Limanda limanda	species
323	Platichthys flesus	species
324	Hippoglossus hippoglossus	species
325	Solea solea	species
326	Buglossidium luteum	species
329	Emys orbicularis	species
330	Anguis fragilis	species
331	Lacerta muralis	species
332	Lacerta vivipara	species
333	Lacerta agilis	species
334	Coronella austriaca	species
335	Natrix natrix	species
336	Vipera berus	species
338	Reptilia	class
339	Triturus vulgaris	species
340	Triturus helveticus	species
341	Triturus cristatus	species
342	Triturus alpestris	species
343	Salamandra salamandra	species
344	Bombina variegata	species
345	Bombina bombina	species
346	Pelobates fuscus	species
347	Bufo bufo	species
348	Bufo calamita	species
349	Bufo viridis	species
350	Hyla arborea	species
351	Rana esculenta	species
352	Rana ridibunda	species
353	Rana temporaria	species
354	Rana arvalis	species
355	Rana dalmatina	species
356	Ranidae	family
357	Anura	order
359	Amphibia	class
